name,cls,n,flag,cat,ean,jan,isbn,pref
Wipuku,C_英数字のみ,1,中小候補,DVD,1,False,False,004
Import,C_英数字のみ,1,中小候補,ミュージック,1,False,False,001
METRO GOLDWYN MAYER,C_英数字のみ,1,中小候補,DVD,1,False,False,088
株式会社 山本人形,A_法人格つき,1,中小候補,おもちゃ,0,False,False,
WARNER RECORDS,C_英数字のみ,1,中小候補,ミュージック,2,False,True,009
La Tromba,C_英数字のみ,1,中小候補,楽器・音響機器,1,False,False,403
"Farrar, Straus and Giroux",C_英数字のみ,1,中小候補,洋書,1,False,True,978
KRE,C_英数字のみ,1,中小候補,DVD,1,True,False,454
海洋堂(KAIYODO),B_和名(法人格なし),1,中小候補,おもちゃ,1,True,False,453
ENTEKE,C_英数字のみ,1,中小候補,DVD,1,False,False,078
Puffin,C_英数字のみ,1,中小候補,洋書,1,False,True,978
asics(アシックス),B_和名(法人格なし),1,中小候補,ファッション,2,True,False,457
Focusrite,C_英数字のみ,1,中小候補,楽器・音響機器,1,False,False,081
Amigo Spiel + Freizeit,C_英数字のみ,1,中小候補,おもちゃ,4,False,False,079
幻冬舎,B_和名(法人格なし),1,中小候補,本,1,False,False,192
Nulea,C_英数字のみ,1,中小候補,パソコン・周辺機器,0,False,False,
よしもとミュージックエンタテインメント,B_和名(法人格なし),1,中小候補,DVD,1,True,False,457
Hawk Press,C_英数字のみ,1,中小候補,洋書,1,False,True,978
Outlook Verlag,C_英数字のみ,1,中小候補,洋書,1,False,True,978
MGM (Video & DVD),C_英数字のみ,1,中小候補,DVD,1,False,False,088
IK Multimedia,C_英数字のみ,1,中小候補,楽器・音響機器,1,True,False,453
MANGA ENTERTAINMENT,C_英数字のみ,1,中小候補,DVD,1,False,False,502
new balance(ニューバランス),B_和名(法人格なし),1,中小候補,ファッション,0,False,False,
Logicool G(ロジクール G),B_和名(法人格なし),1,大手/海外疑い,家電＆カメラ,2,True,False,494
日立(HITACHI),B_和名(法人格なし),1,大手/海外疑い,大型家電,2,True,False,490
