順位,メーカー名,スコア,該当商品数,想定仕入れ金額の中央値,Amazon価格の中央値,消化月数の中央値,主なカテゴリ,規模フラグ,リスク区分あり件数,代表商品名,代表ASIN
40,曙産業,0.9412,1,117,1990,1,ホーム＆キッチン,中小候補,0,曙産業 レンジでらくチン! ゆでたまご 1個用 日本製 電子レンジで簡単ゆで卵作り 余熱調理で加熱時間を短縮 フタは安全2点ロック式 RE-1505 ホワイト/イエロー,B08XWZ82W6
41,懐石,0.9318,1,259,3800,1,ペット用品,中小候補,0,ジェーピースタイル 和の究み ドッグフード 小粒 1歳から【国産/アルミ小分け】 1.8kg(300g×6),B0BY97TPLC
42,アニプレックス,0.9199,1,891,11130,1,DVD,中小候補,0,劇場版 魔法少女まどか☆マギカ[新編]叛逆の物語(完全生産限定版),B07L62YX2G
43,DVDBOX5枚組,0.9133,1,1350,15569,1,PCソフト,中小候補,0,古畑任三郎DVDBOX2ndseason [並行輸入品],B01N7BHYES
44,すごろくや,0.9133,6,501,1970,2,おもちゃ,中小候補,0,すごろくや ゴブレットゴブラーズ 2人 - 2人 5歳 5分 三目並べ マルバツゲーム 対戦 戦略 正規品 ボードゲーム,B07P46282M
45,コンテンツ・ファクトリー,0.9037,2,1092,3025,1,本,中小候補,0,ドキュメント・コミュニケーションの全体観 上巻 原則と手順,4904256050
46,技術評論社,0.8892,2,1908,5140,1,本,中小候補,0,気象予報士かんたん合格テキスト 〈学科・一般知識編〉,4774136085
47,NEW ERA(ニューエラ),0.877,3,1876,3800,1,ファッション,中小候補,0,[New Era] キャップ メンズ レディース 9FORTY 帽子 MLB メジャーリーグ ベースボールキャップ ユニセックス ロゴ ブランド ニューヨーク・ヤンキース エッセン,B0CGKPB2DX
48,経営科学出版,0.876,1,657,5300,1,本,中小候補,0,日本経済の勝算〜なぜ今、世界が日本に注目するのか〜,4867691453
49,モリグリーン(Moly Green),0.8753,1,721,5780,1,車＆バイク,中小候補,0,モリグリーン(Moly Green) エンジンオイル セレクション 0W20 SP/GF-6A 4L 全合成油 0470076,B01MAWKDKP
50,マイナビ出版,0.8709,1,720,5576,1,本,中小候補,0,世界遺産検定公式過去問題集1・準1・2級【2025年度版】,4839988862
51,ニュートンプレス,0.8655,1,621,4617,1,本,中小候補,0,ニャートン ネコの科学 (Newton増刊),B0DRNC2N4L
52,‎バーベイタム(Verbatim),0.8526,5,1135,4780,1,パソコン・周辺機器,中小候補,5,Verbatim バーベイタム 音楽用 CD-R 80分 100枚 ホワイトプリンタブル 48倍速 MUR80FP100SV1,B01AL5KAO4
53,公論出版,0.8518,1,486,3280,1,本,中小候補,0,乙種４類 危険物取扱者試験 令和７年版,4862752926
54,アシェット・コレクションズ・ジャパン,0.8499,1,933,6215,1,本,中小候補,0,1/18エクストラスケール国産名車-創刊(1) 2026年 1/21 号 [雑誌],B0G6MF8H65
55,アルインコ(Alinco),0.846,1,616,4000,1,スポーツ＆アウトドア,中小候補,0,アルインコ(ALINCO) エクササイズクッション WBN126,B07V8RGCFM
56,小学館集英社プロダクション,0.8415,1,2219,13999,1,本,中小候補,0,【初回出荷特典付】刀剣乱舞ONLINE十周年記念 本丸録,4796874739
57,バイクハンド(Bike Hand),0.8382,1,288,1780,1,スポーツ＆アウトドア,中小候補,0,BIKE HAND 自転車 ペダルレンチ 高トルク 15mm対応 プロフェッショナル 工具（YC-163L）,B0BMWQ9MZM
58,河合出版,0.8315,3,165,4138,2,本,中小候補,0,2026 共通テスト総合問題集 英語(リーディング) (河合塾SERIES),4777229513
