メーカー,該当商品数,主なカテゴリ,判定,判定理由,卸の証拠,規模,日本実体シグナル,海外シグナル,国内独立セラー例,国内独立セラー数,独立セラー数,想定仕入れ金額の中央値,代表ASIN,代表商品名,代表Amazonページ,メーカー検索,※Keepa固有の加工値(月間ドロップ数/過去最安値/365日最安/月間販売数/実セラー数)と卸値の列は規約上の理由でリポジトリから除外。完全版は ~/Documents/AI Company 素材/Amazon物販事業/keepa-netsea-full-20260906/
ルイファン ジャパン(Ruifan Japan),3,おもちゃ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／メーカー名日本語,なし,eおもちゃやさん / ポジティブエフェクト / ウィルマージ,5,5,2340,B08KFX86CC,キングブレード one1 （ワン） 2本セット,https://www.amazon.co.jp/dp/B08KFX86CC,https://www.google.com/search?q=%E3%83%AB%E3%82%A4%E3%83%95%E3%82%A1%E3%83%B3%20%E3%82%B8%E3%83%A3%E3%83%91%E3%83%B3%28Ruifan%20Japan%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
四日市ばんこ焼 【日本製】,3,ホーム＆キッチン,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語／メーカー名日本語,なし,ローザ / ★本物の四日市ばんこ焼を地元産地から販売!!★ごはん鍋のプロショップ／せんが陶器【公式】T8810… / HPMストア,5,5,2665,B008CL74QC,【 昔ながらの ごはん鍋 】 炊飯土鍋 二重蓋 四日市ばんこ焼(日本製) 【 本格派 ４合炊 】,https://www.amazon.co.jp/dp/B008CL74QC,https://www.google.com/search?q=%E5%9B%9B%E6%97%A5%E5%B8%82%E3%81%B0%E3%82%93%E3%81%93%E7%84%BC%20%E3%80%90%E6%97%A5%E6%9C%AC%E8%A3%BD%E3%80%91%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
BUNDOK(バンドック),2,スポーツ＆アウトドア,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／メーカー名日本語,なし,リビングリンクス / ★ベストザ・プライス市場★ / アイスリー,3,5,7962,B0BCD74LZ1,BUNDOK(バンドック)ソロ ドーム 1 BDK-08O オリーブ 【1人用】テント 収納コンパクト フルクローズ,https://www.amazon.co.jp/dp/B0BCD74LZ1,https://www.google.com/search?q=BUNDOK%28%E3%83%90%E3%83%B3%E3%83%89%E3%83%83%E3%82%AF%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Butterfly,2,スポーツ＆アウトドア,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認（大きい可能性あり）,JAN45/49／manufacturer日本語,なし,東方スポーツ / 株式会社サンワード / チトセスポーツ(原則1-3営業日出荷),5,6,4458,B07PNBBSV9,バタフライ(Butterfly) 卓球 ラバー ディグニクス 05 ハイテンション 裏ソフト 06040 レッド 特厚,https://www.amazon.co.jp/dp/B07PNBBSV9,https://www.google.com/search?q=Butterfly%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Dr.'s care,2,ペット用品,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／manufacturer日本語,なし,ネットプロフェッショナル / ドリームカンパニー 北関東支店,2,3,3609,B0DYZK2MN7,ドクターズケア 猫用キドニーケア チキンテイスト1.5kg,https://www.amazon.co.jp/dp/B0DYZK2MN7,https://www.google.com/search?q=Dr.%27s%20care%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Earth Plus,2,パソコン・周辺機器,連絡候補,,A: 国内の第三者が2社以上で扱っている,規模未確認,manufacturer日本語,なし,暮らし快適LABO【インボイス発行事業者】 / 得市ストア / ランタンSTORE,4,6,2654,B0DP8BP7MX,【純正品 2個セット】 キヤノン インクカートリッジ BC-345/BC-346 (ブラック/3色カラー) 2個セット,https://www.amazon.co.jp/dp/B0DP8BP7MX,https://www.google.com/search?q=Earth%20Plus%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
FAR EAST GADGET,2,パソコン・周辺機器,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49,なし,ファーイーストガジェット / PFUダイレクト,2,2,1196,B0D1C44P6W,FAR EAST GADGET ファーイーストガジェット タイプスティックス (Black),https://www.amazon.co.jp/dp/B0D1C44P6W,https://www.google.com/search?q=FAR%20EAST%20GADGET%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
FiiO,2,家電＆カメラ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49,なし,e☆イヤホン【イヤホン・ヘッドホン専門店 16時までの通常注文は当日発送！】 / 株式会社コジマ / イケベ楽器店,4,4,3047,B09NXJG3VX,FIIO KA11 Type-C Silver Black 【日本正規店より発送・シリアルナンバー付】USB DAC ア,https://www.amazon.co.jp/dp/B09NXJG3VX,https://www.google.com/search?q=FiiO%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
GRAPHT (グラフト),2,楽器・音響機器,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49／メーカー名日本語,なし,ハッピー＆エンジョイ【インボイス登録事業者：適格請求書発行事業者】 / 星の森商店【インボイス対応/適格請求書発行事業者】,2,2,4075,B0DXFBN3BJ,GRAPHT マイクアーム ロープロファイル MICROPHONE ARM 【ホワイト】耐荷重 2kg 360度回転 角,https://www.amazon.co.jp/dp/B0DXFBN3BJ,https://www.google.com/search?q=GRAPHT%20%28%E3%82%B0%E3%83%A9%E3%83%95%E3%83%88%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
JASON MARKK(ジェイソンマーク),2,ファッション,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,メーカー名日本語,なし,山男FOOTGEAR / ミスチーフスニーカースタイル / PRECIOUS PLACE【毎日15時までのご注文で即日発送】,3,3,940,B00D12KGYE,ジェイソンマーク 8OZ. (スニーカー シューズ 靴 クリーナー シューケア 洗剤) 水洗い不要 液体タイプ 236m,https://www.amazon.co.jp/dp/B00D12KGYE,https://www.google.com/search?q=JASON%20MARKK%28%E3%82%B8%E3%82%A7%E3%82%A4%E3%82%BD%E3%83%B3%E3%83%9E%E3%83%BC%E3%82%AF%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
JELLY JELLY GAMES,2,おもちゃ,連絡候補,,A: 国内の第三者が2社以上で扱っている,中小の見込み（手判定）,JAN45/49,なし,ゆかいなさかな / ボードゲームカフェ7Gold,2,3,1546,B081SKGBFP,JELLYJELLYGAMES クリプティッド 伝説の生物はどこにいる？ヒントを組み合わせて先に見つけた人が勝つ論理推理,https://www.amazon.co.jp/dp/B081SKGBFP,https://www.google.com/search?q=JELLY%20JELLY%20GAMES%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
