メーカー,該当商品数,主なカテゴリ,判定,判定理由,卸の証拠,規模,日本実体シグナル,海外シグナル,国内独立セラー例,国内独立セラー数,独立セラー数,想定仕入れ金額の中央値,代表ASIN,代表商品名,代表Amazonページ,メーカー検索,※Keepa固有の加工値(月間ドロップ数/過去最安値/365日最安/月間販売数/実セラー数)と卸値の列は規約上の理由でリポジトリから除外。完全版は ~/Documents/AI Company 素材/Amazon物販事業/keepa-netsea-full-20260906/
Mankiw,1,パソコン・周辺機器,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,D: 直営・系列店しかいない,規模未確認,なし,なし,,0,0,2000,B0G6K476N4,【超低遅延20ms・軽量220g】ゲーミングヘッドセット PS5・PC対応 4WAY接続 ワイヤレス 2.4G USB/,https://www.amazon.co.jp/dp/B0G6K476N4,https://www.google.com/search?q=Mankiw%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Mtricpop,1,家電＆カメラ,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,D: 直営・系列店しかいない,規模未確認,なし,なし,,0,0,602,B0BYJD8R3K,スマホ 三脚 自撮り棒 長い 180cm以上 スマホスタンド 【設計強化180cm & 充電式リモコン】1/4ネジ付き ,https://www.amazon.co.jp/dp/B0BYJD8R3K,https://www.google.com/search?q=Mtricpop%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
NIMASO,1,家電＆カメラ,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,D: 直営・系列店しかいない,規模未確認,なし,なし,,0,0,734,B0D963S24J,NIMASO アンチグレア iPhone 16 Pro Max用 ガラスフィルム 全面保護 反射防止 黒縁あり 指紋防止,https://www.amazon.co.jp/dp/B0D963S24J,https://www.google.com/search?q=NIMASO%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Natsumi,1,DIY・工具・ガーデン,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,D: 直営・系列店しかいない,規模未確認,なし,なし,,0,0,4723,B0F6N6Z74S,コードレス チェーンソー 電動 強力 充電式チェーンソー 12インチ ブラシレスモーター マキタ18Vバッテリー対応可能,https://www.amazon.co.jp/dp/B0F6N6Z74S,https://www.google.com/search?q=Natsumi%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Perixx,1,パソコン・周辺機器,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,D: 直営・系列店しかいない,規模未確認,なし,なし,,0,0,2262,B0FDKY1CD1,Perixx PERIPAD-706B ワイヤレス外付けタッチパッド Bluetooth/2.4Gでマルチデバイスを3台,https://www.amazon.co.jp/dp/B0FDKY1CD1,https://www.google.com/search?q=Perixx%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
QIIZCP,1,家電＆カメラ,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,D: 直営・系列店しかいない,規模未確認,なし,なし,,0,0,631,B0C8NHT1MB,HDMI ミラーキャスト Anycast対応 正規品 4K/1080P ミラーリング接続 モード切り替え不要 大画面で楽,https://www.amazon.co.jp/dp/B0C8NHT1MB,https://www.google.com/search?q=QIIZCP%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
RUOEVA,1,家電＆カメラ,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,D: 直営・系列店しかいない,規模未確認,なし,なし,,0,0,534,B0FC1N4NCS,Bluetooth ヘッドセット 片耳 ワイヤレス イヤホン Bluetooth 5.4 Hi-Fi音の質増強 ブルート,https://www.amazon.co.jp/dp/B0FC1N4NCS,https://www.google.com/search?q=RUOEVA%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Svoko,1,DIY・工具・ガーデン,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,D: 直営・系列店しかいない,規模未確認,なし,なし,,0,0,504,B0FM755J63,懐中電灯 強力 【2026 最新の進化・超高輝度 小型 LEDライト】フラッシュライト Type-C充電式/電池式/ 5,https://www.amazon.co.jp/dp/B0FM755J63,https://www.google.com/search?q=Svoko%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
TAREASS,1,ホーム＆キッチン,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,D: 直営・系列店しかいない,規模未確認,なし,なし,,0,0,2612,B0DZ1T51KS,除湿機 小型【2026梅雨対策・強力除湿・省エネ】衣類乾燥除湿機 除湿器 ダブルぺルチェ式 強力 じょしつき 24時間切,https://www.amazon.co.jp/dp/B0DZ1T51KS,https://www.google.com/search?q=TAREASS%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
TELESIN,1,家電＆カメラ,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,D: 直営・系列店しかいない,規模未確認,なし,なし,,0,0,1451,B0CN99RD5L,TELESIN スマホネックレスマウント スマホ ネックホルダー 磁気マグネット 首掛けスマホホルダー iPhone対応,https://www.amazon.co.jp/dp/B0CN99RD5L,https://www.google.com/search?q=TELESIN%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
TORRAS,1,家電＆カメラ,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,D: 直営・系列店しかいない,規模未確認,なし,なし,,0,0,1044,B0CSLXQZJ1,TORRAS スマホ 防水ケース 【2026新型！両面高機能】IPX8完全防水 水中タッチ対応 浮く設計 お風呂/海/プ,https://www.amazon.co.jp/dp/B0CSLXQZJ1,https://www.google.com/search?q=TORRAS%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
TOWOOZ,1,パソコン・周辺機器,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,D: 直営・系列店しかいない,規模未確認,なし,なし,,0,0,1302,B0CZD4NGSD,TOWOOZ MacBook Air ケース13-13.6インチ M5/M4/M3/M2/M1チップ/13インチMacB,https://www.amazon.co.jp/dp/B0CZD4NGSD,https://www.google.com/search?q=TOWOOZ%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Tarkins,1,スポーツ＆アウトドア,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,D: 直営・系列店しかいない,規模未確認,なし,なし,,0,0,831,B0FPX5MHD3,[TARKINS] ハーフ インソール 【理学療法士推薦ｘpococe掲載ｘレッド•ドット賞受賞】 扁平足 インソール ,https://www.amazon.co.jp/dp/B0FPX5MHD3,https://www.google.com/search?q=Tarkins%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Turelar,1,ホーム＆キッチン,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,D: 直営・系列店しかいない,規模未確認,なし,なし,,0,0,1526,B0C2XZF3CG,Turelar ブレンダー ハンドブレンダー 15000回/分 離乳食に最適 氷も砕ける ハンドミキサー フードプロセッ,https://www.amazon.co.jp/dp/B0C2XZF3CG,https://www.google.com/search?q=Turelar%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Twofox,1,車＆バイク,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,D: 直営・系列店しかいない,規模未確認,なし,なし,,0,0,632,B0CT5C2KSX,スマホホルダー 車 スマホスタンド 直射日光を避ける 【2026年進化】 Twofox シリコン製スマホ車載ホルダー 全,https://www.amazon.co.jp/dp/B0CT5C2KSX,https://www.google.com/search?q=Twofox%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Vulendu,1,家電＆カメラ,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,D: 直営・系列店しかいない,規模未確認,なし,なし,,0,0,503,B0G2JYGKGJ,65W PD 急速充電器 type-c 【3台同時に急速充電・小型超軽量・PSE認証済】 usb コンセント usb c,https://www.amazon.co.jp/dp/B0G2JYGKGJ,https://www.google.com/search?q=Vulendu%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
WOOTNBA,1,家電＆カメラ,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,D: 直営・系列店しかいない,規模未確認,なし,なし,,0,0,643,B0D5HQJWF8,Bluetooth ヘッドセット 片耳 左右耳兼用 IPX7防水 Bluetooth イヤホン V5.0 片耳 USB充,https://www.amazon.co.jp/dp/B0D5HQJWF8,https://www.google.com/search?q=WOOTNBA%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
XPPen,1,パソコン・周辺機器,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,D: 直営・系列店しかいない,規模未確認,なし,なし,,0,0,1899,B0D961H424,XPPen ペンタブ 6インチ ペンタブレット 8個ショートカットキー 60°傾き検知機能搭載 充電不要ペン Deco ,https://www.amazon.co.jp/dp/B0D961H424,https://www.google.com/search?q=XPPen%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
YESRAMO,1,家電＆カメラ,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,D: 直営・系列店しかいない,規模未確認,なし,なし,,0,0,5111,B0F1MXCGCQ,500万画像 防犯カメラ 屋外 ソーラー パネル分離設置型 左右355°上下90°首振り 配線工事不要 ワイヤレス/wi,https://www.amazon.co.jp/dp/B0F1MXCGCQ,https://www.google.com/search?q=YESRAMO%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Yukimoto,1,ホーム＆キッチン,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,D: 直営・系列店しかいない,規模未確認,なし,なし,,0,0,476,B0DYNSZH6S,枕 首が負担にならない 低反発 安眠 まくら 頭・首・肩を支える 中空設計 腕サポート pillow 低め 高め 二段階,https://www.amazon.co.jp/dp/B0DYNSZH6S,https://www.google.com/search?q=Yukimoto%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
ZAIDER,1,DIY・工具・ガーデン,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,D: 直営・系列店しかいない,規模未確認,なし,なし,,0,0,3078,B0GQ8WVCC5,ZAIDER インターホン ワイヤレス 工事不要 ドアホン テレビドアホン カメラ付き 【双方向通話/自動録画】 赤外線,https://www.amazon.co.jp/dp/B0GQ8WVCC5,https://www.google.com/search?q=ZAIDER%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
ecoofee,1,ファッション,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,D: 直営・系列店しかいない,規模未確認,なし,なし,,0,0,1501,B0FJ22HJFS,[ecoofee] リュック メンズ ビジネスリュック 防水 大容量 軽量 バックパック A4対応 15.6インチ PC,https://www.amazon.co.jp/dp/B0FJ22HJFS,https://www.google.com/search?q=ecoofee%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
etoe,1,家電＆カメラ,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,D: 直営・系列店しかいない,規模未確認,なし,なし,,0,0,4815,B0F4X6G1WV,ETOE Google TV ボックス、Netflix 認定、ストリーミング メディア プレーヤー サポート Googl,https://www.amazon.co.jp/dp/B0F4X6G1WV,https://www.google.com/search?q=etoe%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
eue,1,ホーム＆キッチン,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,D: 直営・系列店しかいない,規模未確認,なし,なし,,0,0,660,B0FJDPSL53,スチームアイロン「革新設計 超軽量」衣類スチーマー 小型 ハンガーにかけたまま,https://www.amazon.co.jp/dp/B0FJDPSL53,https://www.google.com/search?q=eue%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
pcceax,1,ファッション,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,D: 直営・系列店しかいない,規模未確認,なし,なし,,0,0,1163,B0FKT19TTX,[pcceax] レインウェア 上下セット リュック対応 レインスーツ レインコート 自転車 バイク レインウェア 登山,https://www.amazon.co.jp/dp/B0FKT19TTX,https://www.google.com/search?q=pcceax%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Ralkepy,2,家電＆カメラ,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,なし,なし,,0,0,491,B0D7L6QHGV,Ralkepy タッチペン 全機種対応 電量表示 スタイラスペン 磁気吸着機能 交換用ペン先3つ付属「日本語取扱説明書付,https://www.amazon.co.jp/dp/B0D7L6QHGV,https://www.google.com/search?q=Ralkepy%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
TESSAN,2,家電＆カメラ,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,なし,なし,,0,0,715,B0GKFMB4TB,"TESSAN 変換プラグ 全世界対応 (４-in-1, 20W) 海外旅行用コンセント アダプター C/BF/O/Aタイ",https://www.amazon.co.jp/dp/B0GKFMB4TB,https://www.google.com/search?q=TESSAN%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
YOCOEI,2,家電＆カメラ,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,なし,なし,,0,0,577,B0CRS24PMN,YOCOEI 40W USB急速充電器 (4ポート/折り畳み式/超コンパクト/iSonicおまかせ充電/PSE認証済み),https://www.amazon.co.jp/dp/B0CRS24PMN,https://www.google.com/search?q=YOCOEI%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Ashei,1,DIY・工具・ガーデン,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,なし,なし,,0,0,257,B0F4KH3FGX,ソーラーライト 屋外 防水【2026新版 2個入り】 防犯 3つ知能モード 自動点灯/消灯 ソーラーセンサーライト 大容,https://www.amazon.co.jp/dp/B0F4KH3FGX,https://www.google.com/search?q=Ashei%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Avrpqiwy,1,産業・研究開発用品,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,なし,なし,,0,0,103,B0DPMSYR8R,Avrpqiwy 3Dプリンターフィラメントドライボックスストレージ熱風加熱ストレージ印刷材料ボックスホルダー耐湿性すべ,https://www.amazon.co.jp/dp/B0DPMSYR8R,https://www.google.com/search?q=Avrpqiwy%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
BINGFU,1,家電＆カメラ,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,なし,なし,,0,0,288,B08HHXFH98,BINGFU FMアンテナ ラジオアンテナ 粘着アンテナ 3つの変換コネクタ付き 屋内用 高感度 YAMAHA Deno,https://www.amazon.co.jp/dp/B08HHXFH98,https://www.google.com/search?q=BINGFU%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
BRJR,1,パソコン・周辺機器,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,なし,なし,,0,0,576,B0D22K597V,BRJR CD DVDドライブ 外付けDVDドライブ 高速処理 8XDVD& 24XCD 光学ドライブ外付け 読取/書込,https://www.amazon.co.jp/dp/B0D22K597V,https://www.google.com/search?q=BRJR%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
CEREMONY,1,ホーム＆キッチン,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,なし,なし,,0,0,296,B0CDLP9SQ3,CEREMONY お香立て、灰がこぼれない、おこうたて、線香立て、おこうたて おしゃれ（お香は付いていません）,https://www.amazon.co.jp/dp/B0CDLP9SQ3,https://www.google.com/search?q=CEREMONY%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Cardill,1,家電＆カメラ,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,なし,なし,,0,0,442,B0DZ1WVLF8,iPhone 充電器 20W PD 急速充電 [2個セット&MFi/PSE認証済み] Lightningケーブル 2m付,https://www.amazon.co.jp/dp/B0DZ1WVLF8,https://www.google.com/search?q=Cardill%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
DYKL,1,ホーム＆キッチン,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,なし,なし,,0,0,669,B0FN71V2R3,【Amazon.co.jp限定】DYKL 鼻毛カッター メンズ レディース 電動 エチケットカッター 3in1 鼻毛・眉,https://www.amazon.co.jp/dp/B0FN71V2R3,https://www.google.com/search?q=DYKL%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
ELUTENG,1,パソコン・周辺機器,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,なし,なし,,0,0,501,B07T1HYBK2,ELUTENG SATA 増設ボード 6Gbps速度 pcie sata 増設 2ポート sata 増設 拡張カード P,https://www.amazon.co.jp/dp/B07T1HYBK2,https://www.google.com/search?q=ELUTENG%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
EQZ,1,家電＆カメラ,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,なし,なし,,0,0,1072,B0GHKPTMQ2,【2026新登場】EQZ 空気伝導イヤホン bluetooth 骨伝導技術の進化 こつでんどう オープンイヤー型イヤホン,https://www.amazon.co.jp/dp/B0GHKPTMQ2,https://www.google.com/search?q=EQZ%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Feesun,1,ホーム＆キッチン,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,なし,なし,,0,0,503,B0D3LZ3XHR,ハンディファン 冷却プレート搭載 携帯扇風機 冷感 手持ち扇風機 3段階風力調節 長時間稼働 ミニファン 熱中症対策 U,https://www.amazon.co.jp/dp/B0D3LZ3XHR,https://www.google.com/search?q=Feesun%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
GOODNEW,1,ホーム＆キッチン,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,なし,なし,,0,0,678,B0GG94PLMZ,【2026新登場】シェーバー メンズ 髭剃り ミニ 電気シェーバー 小型 ひげそり 携帯 軽量 IPX6防水 水洗い 乾,https://www.amazon.co.jp/dp/B0GG94PLMZ,https://www.google.com/search?q=GOODNEW%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Gourde,1,パソコン・周辺機器,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,なし,なし,,0,0,486,B0FPR8FC6M,CPUスタンド キャスター付き 組立簡単 デスクトップPC 置き台 ブラック,https://www.amazon.co.jp/dp/B0FPR8FC6M,https://www.google.com/search?q=Gourde%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
IKSTAR,1,ホーム＆キッチン,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,なし,なし,,0,0,631,B076RJN5TK,IKSTAR ランバーサポート 低反発クッション 腰痛改善 グッズ 腰枕 改良された 指圧突起設計 RoHS安'全基準ク,https://www.amazon.co.jp/dp/B076RJN5TK,https://www.google.com/search?q=IKSTAR%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Inzyla,1,ホーム＆キッチン,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,なし,なし,,0,0,663,B0F4XRC77D,扇風機 サーキュレーター 兼用 USB充電式 5200mAh バッテリー内蔵 DCモーター 静音 パワフル せんぷうき ,https://www.amazon.co.jp/dp/B0F4XRC77D,https://www.google.com/search?q=Inzyla%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
JGUG,1,家電＆カメラ,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,なし,なし,,0,0,701,B0CHW15Z7B,【Bluetooth イヤホン】ワイヤレス ブルートゥース イヤホン JGUG 数字LEDディスプレイ表示 両耳ENCノ,https://www.amazon.co.jp/dp/B0CHW15Z7B,https://www.google.com/search?q=JGUG%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Jelva,1,ファッション,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,なし,なし,,0,0,818,B0FVT3VPSG,空調作業服 バッテリー 【2026新登場・40800mAh大容量】モバイルバッテリー 急速充電 空調ウェア 専用電池 5,https://www.amazon.co.jp/dp/B0FVT3VPSG,https://www.google.com/search?q=Jelva%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
LXCRTONE,1,車＆バイク,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,なし,なし,,0,0,317,B0GG4D975Z,LXCRTONE スマホホルダー 車 【2026最新進化クリップ&最強の安定】 車 スマホスタンド 携帯ホルダー 車 3,https://www.amazon.co.jp/dp/B0GG4D975Z,https://www.google.com/search?q=LXCRTONE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
Lamicall,1,スポーツ＆アウトドア,除外（日本実体の証拠なし）,JAN45/49・日本語社名・日本法人格のいずれも無し,E: セラー名未解決のため判定保留（Keepa再取得が要る）,規模未確認,なし,なし,,0,0,557,B0BN55KY4Z,Lamicall クイック取付 自転車 スマホ ホルダー : 自転車 携帯ホルダー ロードバイク iphone bike,https://www.amazon.co.jp/dp/B0BN55KY4Z,https://www.google.com/search?q=Lamicall%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
