メーカー,該当商品数,主なカテゴリ,判定,判定理由,卸の証拠,規模,日本実体シグナル,海外シグナル,国内独立セラー例,国内独立セラー数,独立セラー数,想定仕入れ金額の中央値,代表ASIN,代表商品名,代表Amazonページ,メーカー検索,※Keepa固有の加工値(月間ドロップ数/過去最安値/365日最安/月間販売数/実セラー数)と卸値の列は規約上の理由でリポジトリから除外。完全版は ~/Documents/AI Company 素材/Amazon物販事業/keepa-netsea-full-20260906/
株式会社マーベラス,1,DVD,条件付き（再販/版元カテゴリ）,ルートカテゴリ=DVD,A: 国内の第三者が2社以上で扱っている,規模未確認,manufacturer日本語／メーカー名日本語／日本法人格,なし,【売り切りセール中】きたさんショップ / 抜き取りすり替え対策済みのため安心してお買い求め下さい◎リサイクル梱包材発送◎合同会社グランウエスト / R.N.A【適格請求書発行対応事業者】,3,3,9394,B0GMQPWZMN,【Amazon.co.jp限定】「キミとアイドルプリキュア♪感謝祭」（＜アクリルブロック＞付版）（アクリルキーホルダー ,https://www.amazon.co.jp/dp/B0GMQPWZMN,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%9E%E3%83%BC%E3%83%99%E3%83%A9%E3%82%B9%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
永岡書店,1,本,条件付き（再販/版元カテゴリ）,ルートカテゴリ=本,A: 国内の第三者が2社以上で扱っている,規模未確認,manufacturer日本語／メーカー名日本語,なし,ブックマーケティング(ご注文確定前に表示の到着予定日をご確認下さい、ご注文後のキャンセルご遠慮下さい / ✅ACCIEL書店,2,2,1439,4522612893,かげした真由子　星占いダイアリー　Horoscope Diary　2025 (永岡書店の手帳),https://www.amazon.co.jp/dp/4522612893,https://www.google.com/search?q=%E6%B0%B8%E5%B2%A1%E6%9B%B8%E5%BA%97%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
祥伝社,1,本,条件付き（再販/版元カテゴリ）,ルートカテゴリ=本,A: 国内の第三者が2社以上で扱っている,規模未確認,manufacturer日本語／メーカー名日本語,なし,松陰 書店 / タウンズマート / つばめ書店　（２冊以上で自動の場合的に速達出荷。雑誌BN、一部書籍は発送に時間がかかる場合有）,3,3,4485,4396769253,違国日記　全１１巻セット (FEEL コミックス),https://www.amazon.co.jp/dp/4396769253,https://www.google.com/search?q=%E7%A5%A5%E4%BC%9D%E7%A4%BE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
経営科学出版,1,本,条件付き（再販/版元カテゴリ）,ルートカテゴリ=本,A: 国内の第三者が2社以上で扱っている,規模未確認,manufacturer日本語／メーカー名日本語,なし,オンライン・サービス,1,2,657,4867691453,日本経済の勝算〜なぜ今、世界が日本に注目するのか〜,https://www.amazon.co.jp/dp/4867691453,https://www.google.com/search?q=%E7%B5%8C%E5%96%B6%E7%A7%91%E5%AD%A6%E5%87%BA%E7%89%88%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
英治出版,1,本,条件付き（再販/版元カテゴリ）,ルートカテゴリ=本,A: 国内の第三者が2社以上で扱っている,規模未確認,manufacturer日本語／メーカー名日本語,なし,クラシックス書店｜東京都公安委員会　第308932215631 / ほんの王様★International shipping available. / タウンズマート,5,5,391,4862760856,イシューからはじめよ――知的生産の「シンプルな本質」,https://www.amazon.co.jp/dp/4862760856,https://www.google.com/search?q=%E8%8B%B1%E6%B2%BB%E5%87%BA%E7%89%88%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
角川エンタテインメント,1,DVD,条件付き（再販/版元カテゴリ）,ルートカテゴリ=DVD,A: 国内の第三者が2社以上で扱っている,規模未確認,JAN45/49／manufacturer日本語／メーカー名日本語,なし,未来屋陶商店 / オフィスユウ / 毘沙門店,3,5,3125,B000KN99OU,犬神家の一族 完全版 1976&2006 (初回限定版),https://www.amazon.co.jp/dp/B000KN99OU,https://www.google.com/search?q=%E8%A7%92%E5%B7%9D%E3%82%A8%E3%83%B3%E3%82%BF%E3%83%86%E3%82%A4%E3%83%B3%E3%83%A1%E3%83%B3%E3%83%88%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
電気書院,1,本,条件付き（再販/版元カテゴリ）,ルートカテゴリ=本,A: 国内の第三者が2社以上で扱っている,規模未確認,manufacturer日本語／メーカー名日本語,なし,コネクトショップemi / SHIBAYAN(インボイス対応店) / ブックマーケティング(ご注文確定前に表示の到着予定日をご確認下さい、ご注文後のキャンセルご遠慮下さい,4,6,932,4485216071,2026年版 第一種電気工事士学科試験模範解答集,https://www.amazon.co.jp/dp/4485216071,https://www.google.com/search?q=%E9%9B%BB%E6%B0%97%E6%9B%B8%E9%99%A2%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
電気車研究会,1,本,条件付き（再販/版元カテゴリ）,ルートカテゴリ=本,A: 国内の第三者が2社以上で扱っている,規模未確認,JAN45/49／manufacturer日本語／メーカー名日本語,なし,ブックマーケティング(ご注文確定前に表示の到着予定日をご確認下さい、ご注文後のキャンセルご遠慮下さい / Flower books【適格請求書発行事業者登録店】,2,2,2453,B0FJMZJ8LK,国鉄形車両の記録 鋼製寝台客車 2025年 09 月号 [雑誌]: 鉄道ピクトリアル 増刊,https://www.amazon.co.jp/dp/B0FJMZJ8LK,https://www.google.com/search?q=%E9%9B%BB%E6%B0%97%E8%BB%8A%E7%A0%94%E7%A9%B6%E4%BC%9A%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
VITURE,1,ゲーム,条件付き（再販/版元カテゴリ）,ルートカテゴリ=ゲーム,B: 国内の第三者が1社扱っている,規模未確認,なし,なし,いいものをお客様に,1,1,10221,B0D3LT6BJW,VITURE Pro モバイルドック XR/ARグラス対応 HDMI対応 Switch 2・Switch 2D/3D 協,https://www.amazon.co.jp/dp/B0D3LT6BJW,https://www.google.com/search?q=VITURE%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
ロゴヴィスタ,1,PCソフト,条件付き（再販/版元カテゴリ）,ルートカテゴリ=PCソフト,B: 国内の第三者が1社扱っている,規模未確認,JAN45/49／manufacturer日本語／メーカー名日本語,なし,PLUS YU（プラスユウ）,1,1,6523,B002UQSTKU,研究社 医学英和辞典 第2版,https://www.amazon.co.jp/dp/B002UQSTKU,https://www.google.com/search?q=%E3%83%AD%E3%82%B4%E3%83%B4%E3%82%A3%E3%82%B9%E3%82%BF%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,
