exhibitor,booth,class
MARCO+TO,西1-AC-08,海外表記(国内から仕入れられない)
RI-CO #再生備前シリーズ,西1-T06-09,PASS
"GUANGZHOU TONGXING HOUSEHOLD PRODUCTS CO., LTD.",南2-T08-05,海外表記(国内から仕入れられない)
DREAMBEER,西4-T52-02,海外表記(国内から仕入れられない)
"GUANGZHOU ZIMORE GIFT CO., LTD.",南2-T14-26,海外表記(国内から仕入れられない)
ドリームブロッサム,東3-T25-45,PASS
（株）vinos,東7-T40-27,海外表記(国内から仕入れられない)
（株）丸三,東2-T10-12,PASS
リバイア,西2-T26-19,PASS
"GUDE NAIL ACCESSORY (DONGGUAN) CO., LTD.",南2-T08-11,海外表記(国内から仕入れられない)
（株）HINODEYA,西2-T38-19,海外表記(国内から仕入れられない)
マルサン近藤／M-mode,西1-T07-20,PASS
"HANDAN ZHONGAN FOUNDRY CO., LTD.",南1-T07-14,海外表記(国内から仕入れられない)
トリニティ,東2-T19-45,PASS
ビバ工芸,西2-T35-08,PASS
リブウェル,西2-T30-18,PASS
"HANGZHOU BONYEE DAILY NECESSITY TECHNOLOGY CO., LTD.",南1-T04-28,海外表記(国内から仕入れられない)
DOLCE’S,西2-T38-16,海外表記(国内から仕入れられない)
丸七製茶(株),東7-Ｔ48-02,PASS
"HANGZHOU FORTUNE ECO PRODUCTS CO., LTD.",南1-T08-24,海外表記(国内から仕入れられない)
DOLFI市松ジャパン,東2-T19-30,PASS
木材加工ひらもく,西4-T52-13,PASS
（株）丸昌,東2-T12-02,PASS
（株）LIV PLUS,東7-T36-18,海外表記(国内から仕入れられない)
"HANGZHOU HONY TECHNOLOGY CO., LTD.",南2-T10-25,海外表記(国内から仕入れられない)
（有）平賢,東7-JB04,PASS
（株）丸仁,西3-T40-04,PASS
リボントレーディング,東8-T58-06,PASS
"HANGZHOU JIUYI HOME TEXTILE CO., LTD.",南1-T08-02,海外表記(国内から仕入れられない)
ヒルトップ,東7-T49-28,PASS
丸眞（株）,西4-T57-06,PASS
（株）LeMix,東7-MC35,海外表記(国内から仕入れられない)
"HANGZHOU SPECIAL NONWOVENS CO., LTD.",南2-T11-34,海外表記(国内から仕入れられない)
トロイカ,東2-T16-34,PASS
丸信テルタック,西1-T07-06,PASS
"HANGZHOU ZHIXINGBIAN SUPPLY CHAIN CO., LTD.",南2-T12-24,海外表記(国内から仕入れられない)
トワル,西4-T56-13,PASS
丸全（株）,西3-T41-17,PASS
LIMPIU,東7-T37-35,海外表記(国内から仕入れられない)
HAOYU SMART TECH LTD.,南1-T07-26,海外表記(国内から仕入れられない)
ドングバット・DONGGUBAT,西2-T33-13,PASS
丸高衣料（株）,西1-T13-08,PASS
HARFORD HOUSEWARE LIMITED,南1-T06-12,海外表記(国内から仕入れられない)
内外典具帖紙（株）,東7-T47-02,PASS
龍宮（株）,西2-T26-08,PASS
"HENAN OPENNING NETWORK TECHNOLOGY CO., LTD.",南2-T10-35,海外表記(国内から仕入れられない)
広島県央商工会,西1-T08-11,団体・自治体・教育機関(メーカーでない)
丸菱工業（株）,東7-T49-16,PASS
龍田貿易,東3-T28-01,商社・代理店・デザイン(メーカー直でない)
"HENAN YULITEPROMTOINO CO., LTD.",南2-T09-35,海外表記(国内から仕入れられない)
（株）龍都ジャパン,東3-T24-04,PASS
"HEYUAN HISEN GIFTS MANUFACTURING CO., LTD.",南2-T09-04,海外表記(国内から仕入れられない)
（株）内藤デザイン研究所,東1-T08-04,PASS
廣田硝子,西3-T42-03,PASS
（株）マルヒ肥田陶器／土岐市陶磁器卸業協同組合,東3-T29-12,団体・自治体・教育機関(メーカーでない)
"HEYUAN XINGCAI TECHNOLOGY CO., LTD.",南1-T03-36,海外表記(国内から仕入れられない)
（株）那賀ウッド,西3-T45-17,PASS
丸安洋傘（株）,西1-T12-04,PASS
Relation Kaori Labo,西3-T40-04,海外表記(国内から仕入れられない)
HIGHER FLY TOYS LTD,南1-T05-34,海外表記(国内から仕入れられない)
FARM／Brown.,西2-T36-03,海外表記(国内から仕入れられない)
丸山繊維産業（株）-Nawrap-,西3-T40-12,PASS
凜,東7-FS07,PASS
"HUAIAN DREAMING HOUSEHOLD ARTICLES CO., LTD.",南2-T11-04,海外表記(国内から仕入れられない)
長尾織布(名),西4-SO-20,PASS
ファイヤーサイド,西2-T34-07,PASS
丸和貿易,東3-T25-28,商社・代理店・デザイン(メーカー直でない)
"HUAIAN MIMIR ELECTRIC APPLIANCE CO., LTD.",東8-T55-04,海外表記(国内から仕入れられない)
中茂国際（株）,東3-T29-18,PASS
（株）vanafnu,東7-T50-07,海外表記(国内から仕入れられない)
マンハッタナーズ by マルショウエンドウ,東1-T10-35,PASS
Rinco de Ringo／RingoDesignWorks,東2-T15-16,海外表記(国内から仕入れられない)
"HUAXING INDUSTRIAL CO., LTD.",南2-T10-10,海外表記(国内から仕入れられない)
ファングッズ,東3-T23-34,PASS
Mio,西1-GL-05,海外表記(国内から仕入れられない)
りんりん制作事ム所,西3-T44-04,PASS
"HUIZHOU FUCHENG PRINTING CO., LTD.",東8-T55-08,海外表記(国内から仕入れられない)
（株）美織～日本の伝統工芸から生まれる新しい価値～,西3-T42-12,PASS
ROOT CO.,東3-T25-13,海外表記(国内から仕入れられない)
"HUIZHOU YOUKE GIFT MANUFACTURING CO., LTD.",南2-T09-14,海外表記(国内から仕入れられない)
中嶋ビニール商会（株）,東3-T27-17,PASS
（株）funbox,東1-T08-12,海外表記(国内から仕入れられない)
LUXTEN,西4-T49-04,海外表記(国内から仕入れられない)
"HUZHOU AISHANG NURSING PRODUCTS CO., LTD.",南1-T07-32,海外表記(国内から仕入れられない)
中商,西1-T06-12,PASS
FUN／MrRemakeMan,東7-SL09,海外表記(国内から仕入れられない)
Mr.Nomads 酷暑対策商品,東7-T47-15,PASS
LE FOON,東7-MC39,海外表記(国内から仕入れられない)
HY-MAX DESIGNS ENTERPRISES LTD.,南2-T12-25,海外表記(国内から仕入れられない)
那賀町商工会,西3-T45-17,団体・自治体・教育機関(メーカーでない)
テラリウム専門店Feel The Garden,西2-T38-18,PASS
水野ミリナー,東7-T45-12,PASS
LumiKA+〈ルミカプラス〉,東7-T42-20,PASS
"INNER MONGOLIA DASHENGYE CASHMERE PRODUCTS CO., LTD.",南1-T02-13,海外表記(国内から仕入れられない)
V.D.L.C.,西2-T26-25,海外表記(国内から仕入れられない)
MISOKA,東7-T40-31,海外表記(国内から仕入れられない)
Leapepe,西1-T13-08,海外表記(国内から仕入れられない)
"JIANGMEN NOSTOP ELECTRIC CO., LTD.",南2-T10-32,海外表記(国内から仕入れられない)
（株）仲富,東3-T29-52,PASS
Philip Lumbang／NUTMEG ATHLETIC DEPT.／NUTMEG MILLS,東7-SL06,海外表記(国内から仕入れられない)
Leshy forest,東7-MC04,海外表記(国内から仕入れられない)
"JIANGMEN YINGYOU TRADING CO., LTD.",南2-T13-07,海外表記(国内から仕入れられない)
fusendo by 四国団扇,西3-T43-12,海外表記(国内から仕入れられない)
Michi-Global,西3-T44-10,海外表記(国内から仕入れられない)
LEKT・SO／（株）BATON,西1-AC-10,海外表記(国内から仕入れられない)
"JIANGSU BETTER TOYS IMP./EXP. CO., LTD.",南2-T08-01,海外表記(国内から仕入れられない)
孚美（FūūBi）,西1-T02-02,PASS
三益（株）,西2-T21-10,PASS
レザーシティジャパン,東7-T35-18,PASS
"JIANGSU COMPLETE SINCERITY MEDICAL NEW MATERIALS CO., LTD.",南1-T08-22,海外表記(国内から仕入れられない)
中村精工（株）,西3-T45-08,PASS
FOLKIN'／VIOLETTE ROOM,西1-T05-05,海外表記(国内から仕入れられない)
三金商事（株）,東2-T18-51,商社・代理店・デザイン(メーカー直でない)
"JIANGSU FORTUNE NEW MATERIAL TECHNOLOGY CO., LTD.",南1-T07-28,海外表記(国内から仕入れられない)
フォー・コーポレーション,東2-T10-08,PASS
レトラ／レトラ デコ,西2-T23-07,PASS
"JIANGSU HENGMAO NEW MATERIALS TECHNOLOGY CO., LTD.",南2-T10-03,海外表記(国内から仕入れられない)
中山家具（株）,西4-T49-20,PASS
（有）4th-market,西1-T05-10,海外表記(国内から仕入れられない)
ミドリオートレザー,西3-T46-04-A,PASS
"JIANGSU HONGZERUI MEDICAL TECHNOLOGY CO., LTD.",南2-T11-06,海外表記(国内から仕入れられない)
FortyFive Co.,東2-T19-30,海外表記(国内から仕入れられない)
みどり製菓（株）,西1-T12-04,PASS
REN,西3-T42-03,海外表記(国内から仕入れられない)
"JIANGSU SAMPLY HOMEWARE CO., LTD.",南1-T04-13,海外表記(国内から仕入れられない)
forest（株）,東7-T48-28,海外表記(国内から仕入れられない)
（株）REN,東7-T35-10,海外表記(国内から仕入れられない)
"JIANGSU SANXIAO GROUP CO., LTD.",南2-T15-13,海外表記(国内から仕入れられない)
nachukara／DOVERS,東7-MC26,海外表記(国内から仕入れられない)
Forest Design,東7-T49-02,海外表記(国内から仕入れられない)
レンジメート,東3-T28-19,PASS
"JIANGSU SHUNWEN TECHNOLOGY CO., LTD.",南1-T04-01,海外表記(国内から仕入れられない)
ナチュラムーン,東7-T48-13,PASS
（株）福井朝日堂,東2-T17-35,PASS
（株）MIHARBI,西1-T12-04,海外表記(国内から仕入れられない)
rentoutua furniture and fabric,西1-T11-02,海外表記(国内から仕入れられない)
"JIANGSU SPRAYVAN COMMODITY TECHNOLOGY DEVELOPMENT CO., LTD.",南1-T03-25,海外表記(国内から仕入れられない)
ナチュラルアイランド,西2-T32-15,PASS
福井クラフト,西2-T26-15,PASS
Loato,東7-MC03,海外表記(国内から仕入れられない)
"JIANGSU UPACK INTERNATIONAL TRADING CO., LTD.",南1-T07-09,海外表記(国内から仕入れられない)
natural dye のの,東7-T45-29,海外表記(国内から仕入れられない)
（公財）ふくい産業支援センター,西3-T40-04,PASS
miyaco nishio,西3-T41-04,海外表記(国内から仕入れられない)
"JIANGXI QIANGYU OUTDOOR PRODUCTS CO., LTD.",南2-T09-32,海外表記(国内から仕入れられない)
ナツアキ,東3-T23-21,PASS
福江（有）,東7-T33-28,PASS
宮崎商工会議所,西2-T32-14,団体・自治体・教育機関(メーカーでない)
ROTARY HERO INC.（株）,東3-T23-48,海外表記(国内から仕入れられない)
"JIANGXI WONDERFUL HOUSEHOLD CO., LTD.",南1-T03-05,海外表記(国内から仕入れられない)
"JIANGXI YIJINCHENG HOUSEHOLD CO., LTD.",南2-T15-20,海外表記(国内から仕入れられない)
ナッティラパン,西3-T44-04,PASS
福田手袋(株),西3-T39-12,PASS
LOGOS SHOES BY（株）,東7-T44-25,海外表記(国内から仕入れられない)
"JIANGYIN HONGLIU BEDSHEET CO., LTD.",南2-T10-09,海外表記(国内から仕入れられない)
natoha,西3-T42-03,海外表記(国内から仕入れられない)
ふくふく包材研究所,東2-T17-41,PASS
みやざき畳・ふすま店,西3-T44-03,PASS
（株）ROBOTIME JAPAN,東1-T08-22,海外表記(国内から仕入れられない)
"JIAXING CHUANYUE OUTDOOR TECHNOLOGY CO., LTD.",南2-T13-10,海外表記(国内から仕入れられない)
七窯社,西1-AC-19,PASS
（株）ふくべ鍛冶,西3-T39-10,PASS
（有）宮崎木材店 leaf leaf事業部,西3-T45-05,PASS
ロンドンポタリー／（株）,西4-T54-16,PASS
"JIAXING LUCHUANG DAILY NECESSITIES CO., LTD.",南1-T07-29,海外表記(国内から仕入れられない)
福山北商工会,西2-Ｔ25-10,団体・自治体・教育機関(メーカーでない)
ミヤメゾン,東8-T56-07,PASS
ワーキングユニット・ジャパン,西1-T03-04,PASS
"JIEYANG CHANGRONG INDUSTRY CO., LTD.",南1-T05-14,海外表記(国内から仕入れられない)
ナンセンジャパン,東3-T29-48,PASS
宮本産業(株),西2-T26-14,PASS
"JIEYANG CITY JIESHI HARDWARE PLASTIC CO., LTD.",南2-T14-31,海外表記(国内から仕入れられない)
Number,東7-SL13,海外表記(国内から仕入れられない)
福山商工会議所,西1-T02-15,団体・自治体・教育機関(メーカーでない)
ミュールミル,西2-T35-03,PASS
"JIEYANG JIQING PLASTIC CO., LTD.",南2-T13-28,海外表記(国内から仕入れられない)
（公財）,西1-T01-03,PASS
MIYUKI FACTORY,西1-T03-14,海外表記(国内から仕入れられない)
（同）Y&S COMPANY,東7-T45-20,海外表記(国内から仕入れられない)
"JIEYANG TOP-TIP'S DAILY USE PRODUCTS CO., LTD.",南2-T11-11,海外表記(国内から仕入れられない)
新居田物産（株）,東3-T23-01,商社・代理店・デザイン(メーカー直でない)
（株）みらい,東2-T19-44,PASS
"JINHUA GUSONG METAL PRODUCTS CO., LTD.",南2-T11-28,海外表記(国内から仕入れられない)
（株）富士高圧プロダクツ,西1-T04-01,PASS
未来アグリス,西2-T37-19,PASS
（株）YOプリンセス,東7-T48-10,PASS
"JINHUA HERMO MANUFACTURE CO., LTD.",南1-T05-26,海外表記(国内から仕入れられない)
NINOS,西3-T42-03,海外表記(国内から仕入れられない)
フジコンコーポレーション,東7-T38-09,PASS
（株）MIRAISOZAI,東7-MC54,海外表記(国内から仕入れられない)
YK JAPAN（株）,東3-T27-43,海外表記(国内から仕入れられない)
"JINHUA MIAOZI HOUSEHOLD CO., LTD.",南2-T11-07,海外表記(国内から仕入れられない)
（株）NICA,東3-T26-42,海外表記(国内から仕入れられない)
（株）FUJIKON HOLDINGS,東7-T45-08,海外表記(国内から仕入れられない)
millvalley,西1-AC-23,海外表記(国内から仕入れられない)
"JINJIANG HAOYU UMBRELLA CO., LTD.",南2-T11-27,海外表記(国内から仕入れられない)
（株）富士商,東7-T50-01,PASS
ムーミン,西4-T57-06,PASS
若狭箸 大岸正商店,西1-AC-26,PASS
"JL CREATIVE CO., LTD.",南2-T08-33,海外表記(国内から仕入れられない)
ニコニコ,東7-T33-33,PASS
藤田金属（株）,西1-T01-15,PASS
ムーミン アラビア,西4-T57-06,PASS
益子焼 わかさま陶芸,西3-T41-02,PASS
"JOJO FASHION ACCESSORIES CO., LTD.",南2-T09-30,海外表記(国内から仕入れられない)
niconeru,東7-MC08,海外表記(国内から仕入れられない)
ムーミン／ウィリアム・モリス／鳥獣戯画ジュエリー,東7-T34-27,PASS
和華貿易,東7-T46-14,商社・代理店・デザイン(メーカー直でない)
"KALORIK ELECTRONICS TECHNOLOGY (XIAMEN) CO., LTD.",南2-T09-27,海外表記(国内から仕入れられない)
Nicoyan®︎ Land,西3-T44-10,海外表記(国内から仕入れられない)
（株）藤田屋,東3-T27-15,PASS
ムーンスター,西3-T43-16,PASS
"KINGDOM OF CRAFTS CO., LTD.",南2-T09-26,海外表記(国内から仕入れられない)
西川庄六商店,東7-FS12,PASS
FUJITAYA,東7-T43-22,海外表記(国内から仕入れられない)
和歌山染工（株）,東7-T37-31,PASS
"KOOLCARE TECHNOLOGY CO., LTD",東7-T38-31,海外表記(国内から仕入れられない)
錦化成（株）,西4-T57-06,PASS
富士テクノ(株),東7-Ｔ48-02,PASS
musashi,西1-T07-04,海外表記(国内から仕入れられない)
"KUNSHAN SHUANGXIA PLASTIC CO., LTD.",南1-T04-02,海外表記(国内から仕入れられない)
24季 stabilized Wood Works,西1-T08-11,海外表記(国内から仕入れられない)
不二貿易,東2-T15-04,商社・代理店・デザイン(メーカー直でない)
和光電気（株）,東7-T39-15,PASS
LOFTEX CHINA LTD,南2-T14-07,海外表記(国内から仕入れられない)
（株）西本,西1-T06-12,PASS
FUJIMI,西4-T53-02,海外表記(国内から仕入れられない)
MUZICA VITA,東7-MC16,海外表記(国内から仕入れられない)
和弘プラスチック工業（株）,東7-T38-11,PASS
LONGXING,西1-T14-03,海外表記(国内から仕入れられない)
富士屋通商（株）,東7-T50-29,PASS
無水鍋®,東7-T42-08,PASS
輪島采色塗なか門,西3-T39-03,PASS
"LONGYAN REMICA DECORATION MATERIAL CO., LTD.",南1-T07-16,海外表記(国内から仕入れられない)
（株）二口製紐,西3-T39-04,PASS
（有）村岡オーガニック,西4-GLS-05,PASS
"LOTUS INDUSTRIES (XIAMEN) IMPORT & EXPORT CO., LTD.",南2-T10-08,海外表記(国内から仕入れられない)
日進精機（株）,西3-T43-18,PASS
（有）渕上熔接,東7-T46-20,PASS
（株）村上工作所,東7-JB03,PASS
（有）渡辺合金鋳造所,西4-SO-05,PASS
"LUCKY GOLDJYX CO., LTD.",南1-T05-03,海外表記(国内から仕入れられない)
日繊商工（株）,西2-T28-15,PASS
プチスーク -ENA KUAM-,東7-MC25,PASS
村田刺繍所,東7-JB04,PASS
渡邉製本,西3-T42-03,PASS
MANNTEC HOMEWARE INC.,南2-T15-28,海外表記(国内から仕入れられない)
（株）和田挽物,西3-T45-08,PASS
"MARKET UNION CO., LTD.",南1-T07-18,海外表記(国内から仕入れられない)
日辰（株）,東7-T42-15,PASS
フットゾーントレーディング,東7-T45-26,PASS
Wayuan和悠庵,西3-T41-20,PASS
MYMAGIC COOKWARE,南2-T12-05,海外表記(国内から仕入れられない)
日本クロージャー,東7-T49-09,PASS
FUNI FUNI,東7-MC33,海外表記(国内から仕入れられない)
"NANCHANG TIANHAO EMBROIDERY CO., LTD.",南2-T13-30,海外表記(国内から仕入れられない)
ぷにもちフレンズ,東3-T24-15,PASS
MAKES AND THINGS,西3-T46-11,海外表記(国内から仕入れられない)
ワンダーハウス,東3-T25-39,PASS
"NANJING XIAXI TRADING CO., LTD.",南2-T11-29,海外表記(国内から仕入れられない)
日本製紙クレシア,東7-T39-24,PASS
pu・pu・pu,東7-MC37,海外表記(国内から仕入れられない)
ワンダフル日本（株）,東1-T09-38,PASS
"NANJING LIANGXIU LATEX PRODUCTS CO., LTD.",南1-T05-30,海外表記(国内から仕入れられない)
ニトリパブリック,東3-T24-35,PASS
FRAAS／bugatti,東7-MC62,海外表記(国内から仕入れられない)
"NANTONG EASYSLEEP FOAM CO., LTD.",南2-T15-08,海外表記(国内から仕入れられない)
（株）BRIGHT,東3-T24-42,海外表記(国内から仕入れられない)
メモリーゼロ,西2-T23-11,PASS
ヲヲフェニックス,東8-T57-31,PASS
"NANTONG FORYOU IMPORT AND EXPORT CO., LTD.",南1-T07-21,海外表記(国内から仕入れられない)
日本草木研究所,西1-AC-28,PASS
ぷらいも,東7-T48-24,PASS
"NANTONG HAWK FITNESS & SPORTS CO., LTD.",南1-T07-30,海外表記(国内から仕入れられない)
（有）FRACTION,東3-T24-44,海外表記(国内から仕入れられない)
モアザンチョコレート,東2-T18-01,PASS
"NANTONG LEIMAO HOME TECHNOLOGY CO., LTD.",南2-T10-07,海外表記(国内から仕入れられない)
ブラザー販売（株）,東3-T23-28,PASS
moku-zakka,西1-T07-17,海外表記(国内から仕入れられない)
"NANTONG LICHI HOUSEWARES CO., LTD.",南2-T11-22,海外表記(国内から仕入れられない)
日本拓馳（株）,東3-T29-44,PASS
（株）Plus E,西3-T39-03,海外表記(国内から仕入れられない)
MOKUHARU,東7-T49-20,海外表記(国内から仕入れられない)
AUS BANGLA JUTEX LTD.,東7-T45-18,海外表記(国内から仕入れられない)
NANTONG LU-RI TRADING COMPANY LIMITED,南1-T06-11,海外表記(国内から仕入れられない)
日本手袋工業組合,西3-T39-12,PASS
（株）BLAST,東2-T12-18,海外表記(国内から仕入れられない)
MOKULOCK,西1-T06-04,海外表記(国内から仕入れられない)
TRENT SHOES LIMITED,東7-Ｔ44-23,海外表記(国内から仕入れられない)
"NANTONG MAIGUO ARTS AND CRAFTS CO., LTD.",南2-T13-08,海外表記(国内から仕入れられない)
MOGU LOCK,西3-T44-10,海外表記(国内から仕入れられない)
"NANTONG REMICKEY TEXTILE CO., LTD.",南2-T10-15,海外表記(国内から仕入れられない)
日本バッグ工業連合会 傘下企業,東7-T36-23,団体・自治体・教育機関(メーカーでない)
ブラックバルーンマーケット,東2-T14-16,PASS
MOSAIC LION,東7-MC23,海外表記(国内から仕入れられない)
KIIMENTO,東3-T23-43,海外表記(国内から仕入れられない)
"NANTONG SLEEPING FOAM CO., LTD.",南2-T15-10,海外表記(国内から仕入れられない)
日本ベルビュー,東2-T15-49,PASS
"NANTONG XIAOCHEN TOYS CO., LTD.",南1-T03-21,海外表記(国内から仕入れられない)
日本理化学工業（株）,東2-T17-33,PASS
ブラフシューペリア(株),東7-T33-38,PASS
MOC-TEX®／ケィ,西3-T46-04-F,海外表記(国内から仕入れられない)
"ANHUI FULUDING TOY TRADE CO., LTD.",南2-T12-36,海外表記(国内から仕入れられない)
"NANTONG YAZE TEXTILE GARMENTS CO., LTD.",南2-T15-14,海外表記(国内から仕入れられない)
日本緑茶センター,西2-T33-17,PASS
FLOWERiUM,西3-T42-03,海外表記(国内から仕入れられない)
木工房 林,西3-T44-03,PASS
"ANHUI KANGSEN TOYS IMPORT AND EXPORT CO., LTD.",南2-T09-25,海外表記(国内から仕入れられない)
"NATURAL HOME CO., LIMITED.",南1-T04-30,海外表記(国内から仕入れられない)
ニマゴン,東2-T18-19,PASS
（株）MOTTERU,東3-T21-43,海外表記(国内から仕入れられない)
"ANHUI SHUNYI PRINTING AND PACKAGING CO., LTD.",南1-T05-37,海外表記(国内から仕入れられない)
"NICE ACCESSORIES CO., LTD.",南1-T05-29,海外表記(国内から仕入れられない)
ニューウェイジャパン,東2-T17-38,PASS
モデナ,東7-T35-34,PASS
ANJI STARSHIPS BAMBOO&WOOD PRODUCTS CO. LTD.,西1-T14-01,海外表記(国内から仕入れられない)
"NINGBO A.NI INTERNATIONAL TRADE CO., LTD.",南2-T14-18,海外表記(国内から仕入れられない)
仁礼（株）,東3-T25-47,PASS
本野はきもの工業,西3-T44-03,PASS
"BEMAY TOY INDUSTRIAL CO., LTD.",南2-T15-07,海外表記(国内から仕入れられない)
"NINGBO BRIGHT IMPORT & EXPORT CO., LTD.",南1-T07-12,海外表記(国内から仕入れられない)
布工房風花,東7-JB03,PASS
プランティアオーガニック,西1-T05-20,PASS
MON AROME CHERI candle,西2-T32-14,海外表記(国内から仕入れられない)
"BESTOY (DONGGUAN) CO., LTD.",南2-T14-34,海外表記(国内から仕入れられない)
"NINGBO CREATE VALUE IMP.&EXP. CO., LTD.",南1-T05-22,海外表記(国内から仕入れられない)
沼田町商工会,西3-T45-09,団体・自治体・教育機関(メーカーでない)
MONOPIA,東7-MC22,海外表記(国内から仕入れられない)
"BULETEDAN TECHNOLOGY CO., LTD.",南1-T03-27,海外表記(国内から仕入れられない)
"NINGBO EASTMOON IMPORT AND EXPORT CO., LTD.",南2-T13-13,海外表記(国内から仕入れられない)
（株）NEO商事,東3-T28-41,商社・代理店・デザイン(メーカー直でない)
"CAPSULISM(CHINA) INDUSTRIAL CO., LTD.",南2-T13-29,海外表記(国内から仕入れられない)
"NINGBO FAVORED COMMODITY CO., LTD.",南2-T08-29,海外表記(国内から仕入れられない)
MOYOY,西2-T33-16,海外表記(国内から仕入れられない)
CARABINER FACTORY,南1-T08-04,海外表記(国内から仕入れられない)
"NINGBO FENGSHENG INT'L TRADING CO., LTD.",南1-T04-33,海外表記(国内から仕入れられない)
森井紙器工業,西1-T01-03,PASS
"CHANGSHU GUANGSHENGXIN TEXTILE CO., LTD.",南1-T07-36,海外表記(国内から仕入れられない)
"NINGBO GAOBO SPORTS CO., LTD YIWU BRANCH",南1-T08-28,海外表記(国内から仕入れられない)
ネスカフェ ドルチェ グスト,西4-T54-10,PASS
MORI SAUNA,西4-GLS-04,海外表記(国内から仕入れられない)
"CHANGSHU JIELAIMEI TEXTILE CO., LTD.",南2-T11-14,海外表記(国内から仕入れられない)
"NINGBO HAISHU HOPE-U INTERNATIONAL TRADING CO., LTD.",南1-T07-04,海外表記(国内から仕入れられない)
ネスリーフ,東2-T17-32,PASS
フリュー・ピクチャーズ,東2-T15-15,PASS
もりさん 京都・西陣織,東2-T15-45,PASS
"CHANGZHOU GREENFOREST IMPORT & EXPORT CO., LTD.",南1-T04-17,海外表記(国内から仕入れられない)
"NINGBO INTERWELL IMPORT & EXPORT CO., LTD.",南2-T11-25,海外表記(国内から仕入れられない)
NEVER MIND,東1-T10-39,海外表記(国内から仕入れられない)
BRILA,東2-T19-38,海外表記(国内から仕入れられない)
モリシタ(株),西4-T57-06,PASS
"CHENGWU BAISHENG TEXTILE CO., LTD.",南2-T15-12,海外表記(国内から仕入れられない)
"NINGBO JIANGYONG PLASTIC INDUSTRIAL TECH CO., LTD.",南1-T07-11,海外表記(国内から仕入れられない)
ブリリアント,東3-T23-17,PASS
急速冷凍 森島おはぎ,東7-Ｔ48-02,PASS
CJI OVERSEAS IMPORT AND EXPORT LTD.,南1-T06-15,海外表記(国内から仕入れられない)
"NINGBO JIEJIANG INTELLIGENT TECHNOLOGY CO., LTD.",南1-T04-35,海外表記(国内から仕入れられない)
NEHAN TOKYO,西1-T04-06,海外表記(国内から仕入れられない)
（株）MORITA,西4-T48-20,海外表記(国内から仕入れられない)
"DALIAN AIWILL HOUSEWARES CO., LTD.",南2-T10-27,海外表記(国内から仕入れられない)
"NINGBO KESD IMPORT&EXPORT CO., LTD.",南1-T08-06,海外表記(国内から仕入れられない)
NOAH（株）,東3-T26-45,海外表記(国内から仕入れられない)
森拓（株）,東3-T29-16,PASS
"DALIAN GOLDEN SOURCE HOUSEWARES CO., LTD.",南1-T07-25,海外表記(国内から仕入れられない)
"NINGBO LINK INTERNATIONAL CO., LTD.",南2-T11-26,海外表記(国内から仕入れられない)
NO SIGN,東7-JB01,海外表記(国内から仕入れられない)
守田漆器（株）,西1-T06-12,PASS
"DALIAN TOYORIKA TRADE CO., LTD.",南1-T06-23,海外表記(国内から仕入れられない)
"NINGBO MEETING INDUSTRIAL&TRADING CO., LTD.",南2-T12-29,海外表記(国内から仕入れられない)
ブルズごはん,東7-T46-20,PASS
森田人形店,西3-T42-11,PASS
"DEXING(GUANGZHOU)SUPPLY CHAIN CO., LTD.",南1-T05-16,海外表記(国内から仕入れられない)
"NINGBO NEW ZENITH IMP.&EXP. CO., LTD.",南1-T02-31,海外表記(国内から仕入れられない)
ノーマン,東3-T25-18,PASS
プルメリア,西2-T26-21,PASS
森久（株）,東3-T24-38,PASS
"DND HOUSEWARES CO., LTD.",南2-T14-30,海外表記(国内から仕入れられない)
"NINGBO NINGJAY APPLIANCE CO., LTD.",南1-T07-10,海外表記(国内から仕入れられない)
（有）野上工芸,東7-T47-20,PASS
森永乳業クリニコ,東7-T37-30,PASS
"DONG TAI HUAN YU TOYS CO., LTD.",南2-T11-16,海外表記(国内から仕入れられない)
"NINGBO ORIENT MIND CO., LTD.",南2-T13-21,海外表記(国内から仕入れられない)
（有）野川農園,西2-T38-11,PASS
フレックス販売（株）,西2-T21-13,PASS
森秀織物（株）,東7-JB04,PASS
"DONGGUAN ADONIS LEATHER CO., LTD.",南2-T14-21,海外表記(国内から仕入れられない)
NINGBO SHIWEI TRADING COMPANY,南1-T07-06,海外表記(国内から仕入れられない)
（株）野首木工所,西3-T43-03,PASS
PREMIUM WATER,西4-T55-01,海外表記(国内から仕入れられない)
morifuku,東7-MC36,海外表記(国内から仕入れられない)
"DONGGUAN ANQI HOUSEHOLD ARTICLES CO., LIMITED",南2-T15-32,海外表記(国内から仕入れられない)
"NINGBO STARLINK IMPORT AND EXPORT CO., LTD.",南2-T15-27,海外表記(国内から仕入れられない)
ノスタルジックガレージ,西1-T09-09,PASS
フレンズヒル,東3-T22-31,PASS
森本産業（株）,東3-T24-10,PASS
"DONGGUAN ANSHIN TOYS CO., LTD.",南2-T12-10,海外表記(国内から仕入れられない)
"NINGBO TOPWAY STATIONERY&PROMOTION CO., LTD.",南1-T04-12,海外表記(国内から仕入れられない)
（株）野中工務店,東7-T49-20,PASS
FrenchFlow,西2-T26-23,海外表記(国内から仕入れられない)
森本農園,東7-T38-20,PASS
"DONGGUAN AWELL TECHNOLOGY CO., LTD.",南2-T10-34,海外表記(国内から仕入れられない)
