exhibitor,booth,class
（有）大一創芸,西1-T01-15,PASS
アトリエヨクト,西1-AC-17,PASS
エムルーカンパニー,東1-T10-41,PASS
クイック・ロック・ジャパン,東2-T17-43,PASS
（有）三和トレーディング,西2-T32-10,PASS
第一ライフグループ（株）第一ライフ物産,東3-T22-15,商社・代理店・デザイン(メーカー直でない)
（株）ANICRAFT,東3-T22-44,海外表記(国内から仕入れられない)
eranoiwa,西3-T44-03,海外表記(国内から仕入れられない)
CUORE STORE,東7-MC18,海外表記(国内から仕入れられない)
tiger & rabbit design inc.,東7-FS14,海外表記(国内から仕入れられない)
郡上市商工会,西3-T43-03,団体・自治体・教育機関(メーカーでない)
ABUTILON,東2-T19-30,海外表記(国内から仕入れられない)
（株）L.L.JACKY,東3-T26-08,海外表記(国内から仕入れられない)
guz guz,西1-AC-06,海外表記(国内から仕入れられない)
（株）GSI ABROS,東2-T15-20,海外表記(国内から仕入れられない)
（有）大輝製作所,西1-T01-15,PASS
エレス,西1-T11-10,PASS
楠橋紋織（株）,西2-T30-05,PASS
シークエンズ,東3-T25-36,PASS
（株）大醐,東7-T41-38,PASS
siquent,西3-T42-17,海外表記(国内から仕入れられない)
大香,西2-T33-05,PASS
遠州織物／（一社）静岡県繊維協会,東7-T34-30,団体・自治体・教育機関(メーカーでない)
GOODS BRIDGE LAB.,東3-T21-36,海外表記(国内から仕入れられない)
（株）遠東商会,東1-T08-42,PASS
グッズマン／Activital,東8-T57-05,PASS
ジースタイル,東7-T46-11,PASS
Ty Japan,東1-T09-08,海外表記(国内から仕入れられない)
AMACK,東2-T16-48,海外表記(国内から仕入れられない)
（株）GOOD DEAL COMPANY／KROC,西3-T46-04-D,海外表記(国内から仕入れられない)
THETA,東7-MC10,海外表記(国内から仕入れられない)
大商貿易,東7-T37-33,商社・代理店・デザイン(メーカー直でない)
AmatorA,西3-T44-10,海外表記(国内から仕入れられない)
オ、イペオ,東7-MC30,PASS
椎名切子,西3-T42-03,PASS
大生機設,東7-Ｔ48-02,PASS
アミアズ,東7-T40-33,PASS
欧文印刷（株）／ヌーボード,東2-T16-35,PASS
熊野洞,西3-T41-04,PASS
（株）大雪木工,西1-T12-05,PASS
