preset,ASIN,商品名,ブランド,メーカー,カテゴリ,ランク,新品オファー数,セラー名一覧,メーカー直販フラグ,新品最安値(送料込),価格定義混在,採用窓,損益分岐仕入れ値,損益分岐仕入れ値_精緻,FBAサイズ区分,外注費,規模フラグ,段1回転,段2値下げ耐性,判定,見送り理由,出品制限チェック,Amazonページ,※Keepa固有の加工値(月間ドロップ数/過去最安値/365日最安/月間販売数/実セラー数)と卸値の列は規約上の理由でリポジトリから除外。完全版は ~/Documents/AI Company 素材/Amazon物販事業/keepa-netsea-full-20260906/
A,B0DM9MMBH1,iFace BeBling Wave MagSafe対応 スマホリング MagSynq Ring Holder (ブラック),Hamee(ハミィ),Hamee(ハミィ),家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,2633,2,Hamee(ハミィ) / dream 本店,メーカー直販,3150,はい,2026-02-23以降,1844,2396,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0DM9MMBH1,
A,B0FPD1ZY3J,iClever ワイヤレスキーボード テンキー付き フルサイズ Bluetooth・2.4GHz JIS配列 Type-C充電 DK03 白,iClever,iClever,パソコン・周辺機器 > キーボード・マウス・入力機器 > パソコン用キーボード,2695,2,Thousandshores JP / Thousandshores Direct JP,,4799,はい,2026-02-23以降,2033,2561,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FPD1ZY3J,
A,B0FKH2TKQ8,Letmy 懐中電灯 強力 ledライト ハンディライト 2025新型 超高輝度6000ルーメン ディジタル電気量 一個セット,LETMY,LETMY,スポーツ＆アウトドア > アウトドア > ライト・ランタン,9615,2,TuyLuxe Home / LETMY JP,メーカー直販,2089,はい,2026-02-23以降,808,823,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FKH2TKQ8,
A,B0FFBBXSQV,衣類スチーマー Pursay かけたまま スチームアイロン 100-240V 海外対応【濡れずにすぐに着られる×大量超微細スチーム】 ハンディ コンパクト シワ,Pursay,Pursay,ホーム＆キッチン > 家電 > 生活家電,6968,2,Pursay販売店【日本語対応・365日製品品質保証】 / Pursay電気屋【最大18月間安心保証･日本語サポート･30日間返金返品保証】,メーカー直販,7581,はい,2026-02-23以降,3607,4370,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FFBBXSQV,
A,B0GDXX5GD4,掃除機 コードレス 強力吸引45000Pa 35分稼働 超軽量 静音 スティック型 一人暮らし ペットの毛・猫砂対応 本体0.5kg 充電式コンパクト,Fochai,Fochai,ホーム＆キッチン > 家電 > 生活家電,4315,2,Fochai JP公式店--HKXW / Fochai JP公式店-xl,メーカー直販,5758,はい,2026-02-23以降,3334,3948,標準2,332,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0GDXX5GD4,
A,B0FX8MQ4M7,【Amazon.co.jp限定】モニターアーム 17～32インチ対応 耐荷重2～11kg VESA規格対応 5軸可動式 多角度調節 ガススプリング式 アルミニウ,Vexify,Vexify,パソコン・周辺機器 > PCアクセサリ・サプライ > モニターアクセサリ,5542,2,TANG MJING / wangzeng JP,,4980,はい,2026-02-23以降,1877,2281,標準2,332,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FX8MQ4M7,
A,B0D65TH8PY,iClever ゲーミングキーボード 赤軸 メカニカル キーボード 日本語配列 有線 マクロ対応 カスタマイズ G07 ブラック,iClever,iClever,パソコン・周辺機器 > キーボード・マウス・入力機器 > ゲーミングキーボード,3930,2,Thousandshores JP / Thousandshores Direct JP,,6190,はい,2026-02-23以降,2999,3928,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0D65TH8PY,
B,B0FH23M456,BOIFUN バイク用スマートモニター【業界初・縦横表示切替対応・ 6.25インチ大画面】Carplay/Android Auto対応・ バイク用モニター スマ,BOIFUN,BOIFUN,車＆バイク > バイクアクセサリ > バイク用通信機器・GPS,2264,2,"HONG KONG CHULAN XIN CO., LIMITED / MomBackL｜プレミアム直販店・2年保証（2015年創業メーカー）",,16495,はい,2026-02-23以降,10333,13165,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FH23M456,
B,B0GKH36WB5,SCYROX V6 軽量 ワイヤレスゲーミングマウス 40g Pixart 3950センサー 8k ドングル同梱済み kailhスイッチ版【日本正規代理店保証】,SCYROX,SCYROX,パソコン・周辺機器 > キーボード・マウス・入力機器 > ゲーミングマウス,3465,2,Rabbit0-Shop / XPRICE,,11800,はい,2026-02-23以降,6024,8209,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0GKH36WB5,
A,B0FYG2NDBR,モバイルバッテリー MagSafe対応 10000mAh ワイヤレス充電 22.5W急速充電 USB-C内蔵ケーブル 小型 軽量 薄型 最大3台同時充電 PD対,CHUSII,"Shenzhen Joway Power Supply Co., Ltd.",家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,2538,3,JunqianStore / Camer Tech / 惠州市博莱博科技有限公司,,1563,はい,2026-02-23以降,833,965,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FYG2NDBR,
