preset,ASIN,商品名,ブランド,メーカー,カテゴリ,ランク,月間ドロップ数,月間販売数,新品オファー数,実セラー数,セラー名一覧,メーカー直販フラグ,新品最安値(送料込),過去最安値(送料込・2026-02-23以降),参考_365日最安(価格定義混在),価格定義混在,採用窓,窓差率%,損益分岐仕入れ値,損益分岐仕入れ値_精緻,仕入れ掛け率上限%,想定月販,消化月数,消化月数_ロット5,分母の根拠,FBAサイズ区分,外注費,規模フラグ,段1回転,段2値下げ耐性,判定,見送り理由,出品制限チェック,Amazonページ
B,B0GJ3S68KD,Android 16 タブレット 11インチ Wi-Fiモデル Headwolf WPad7、In-Cell 1920x1200 FHD、8000mAh、8コア,Headwolf,Headwolf,パソコン・周辺機器 > タブレット,8585,40,100,2,2,Headwolf 直営店 / Headwolf HBY公式ストア,メーカー直販,16999,16999,16999,いいえ,2026-02-23以降,0.0,10717,14793,63.0,13.33,0.75,0.38,実セラー数,標準2,332,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0GJ3S68KD
A,B0DHBTXVBF,サンワダイレクト リングマウス Bluetooth ホイール搭載 USB-C充電 PowerPoint・Keynote操作対応 Windows/Mac 5ボタン,サンワダイレクト,サンワダイレクト,パソコン・周辺機器 > キーボード・マウス・入力機器 > マウス,3419,39,100,2,2,サンワサプライ直営【サンワダイレクト】14時までの注文は国内から当日出荷≪土日も出荷中≫ / スバコカンパニー,メーカー直販,5900,5382,4800,はい,2026-02-23以降,12.1,3316,4479,56.2,13.0,0.77,0.38,実セラー数,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0DHBTXVBF
A,B0DM9MMBH1,iFace BeBling Wave MagSafe対応 スマホリング MagSynq Ring Holder (ブラック),Hamee(ハミィ),Hamee(ハミィ),家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,2633,39,100,2,2,Hamee(ハミィ) / dream 本店,メーカー直販,3150,3118,3118,はい,2026-02-23以降,0.0,1844,2396,58.6,13.0,0.77,0.38,実セラー数,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0DM9MMBH1
A,B0FPD1ZY3J,iClever ワイヤレスキーボード テンキー付き フルサイズ Bluetooth・2.4GHz JIS配列 Type-C充電 DK03 白,iClever,iClever,パソコン・周辺機器 > キーボード・マウス・入力機器 > パソコン用キーボード,2695,39,200,2,2,Thousandshores JP / Thousandshores Direct JP,,4799,3563,3563,はい,2026-02-23以降,0.0,2033,2561,42.4,13.0,0.77,0.38,実セラー数,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FPD1ZY3J
A,B0FKH2TKQ8,Letmy 懐中電灯 強力 ledライト ハンディライト 2025新型 超高輝度6000ルーメン ディジタル電気量 一個セット,LETMY,LETMY,スポーツ＆アウトドア > アウトドア > ライト・ランタン,9615,39,100,2,2,TuyLuxe Home / LETMY JP,メーカー直販,2089,1524,1524,はい,2026-02-23以降,0.0,808,823,38.7,13.0,0.77,0.38,実セラー数,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FKH2TKQ8
A,B0FFBBXSQV,衣類スチーマー Pursay かけたまま スチームアイロン 100-240V 海外対応【濡れずにすぐに着られる×大量超微細スチーム】 ハンディ コンパクト シワ,Pursay,Pursay,ホーム＆キッチン > 家電 > 生活家電,6968,39,100,2,2,Pursay販売店【日本語対応・365日製品品質保証】 / Pursay電気屋【最大18月間安心保証･日本語サポート･30日間返金返品保証】,メーカー直販,7581,5984,5984,はい,2026-02-23以降,0.0,3607,4370,47.6,13.0,0.77,0.38,実セラー数,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FFBBXSQV
A,B0GDXX5GD4,掃除機 コードレス 強力吸引45000Pa 35分稼働 超軽量 静音 スティック型 一人暮らし ペットの毛・猫砂対応 本体0.5kg 充電式コンパクト,Fochai,Fochai,ホーム＆キッチン > 家電 > 生活家電,4315,38,500,2,2,Fochai JP公式店--HKXW / Fochai JP公式店-xl,メーカー直販,5758,5641,5641,はい,2026-02-23以降,0.0,3334,3948,57.9,12.67,0.79,0.39,実セラー数,標準2,332,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0GDXX5GD4
A,B0FX8MQ4M7,【Amazon.co.jp限定】モニターアーム 17～32インチ対応 耐荷重2～11kg VESA規格対応 5軸可動式 多角度調節 ガススプリング式 アルミニウ,Vexify,Vexify,パソコン・周辺機器 > PCアクセサリ・サプライ > モニターアクセサリ,5542,38,100,2,2,TANG MJING / wangzeng JP,,4980,3399,3399,はい,2026-02-23以降,0.0,1877,2281,37.7,12.67,0.79,0.39,実セラー数,標準2,332,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FX8MQ4M7
A,B0D65TH8PY,iClever ゲーミングキーボード 赤軸 メカニカル キーボード 日本語配列 有線 マクロ対応 カスタマイズ G07 ブラック,iClever,iClever,パソコン・周辺機器 > キーボード・マウス・入力機器 > ゲーミングキーボード,3930,38,100,2,2,Thousandshores JP / Thousandshores Direct JP,,6190,5048,5048,はい,2026-02-23以降,0.0,2999,3928,48.5,12.67,0.79,0.39,実セラー数,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0D65TH8PY
B,B0FH23M456,BOIFUN バイク用スマートモニター【業界初・縦横表示切替対応・ 6.25インチ大画面】Carplay/Android Auto対応・ バイク用モニター スマ,BOIFUN,BOIFUN,車＆バイク > バイクアクセサリ > バイク用通信機器・GPS,2264,38,100,2,2,"HONG KONG CHULAN XIN CO., LIMITED / MomBackL｜プレミアム直販店・2年保証（2015年創業メーカー）",,16495,16331,15998,はい,2026-02-23以降,2.1,10333,13165,62.6,12.67,0.79,0.39,実セラー数,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FH23M456
B,B0GKH36WB5,SCYROX V6 軽量 ワイヤレスゲーミングマウス 40g Pixart 3950センサー 8k ドングル同梱済み kailhスイッチ版【日本正規代理店保証】,SCYROX,SCYROX,パソコン・周辺機器 > キーボード・マウス・入力機器 > ゲーミングマウス,3465,38,100,2,2,Rabbit0-Shop / XPRICE,,11800,9702,9702,はい,2026-02-23以降,0.0,6024,8209,51.1,12.67,0.79,0.39,実セラー数,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0GKH36WB5
A,B0FYG2NDBR,モバイルバッテリー MagSafe対応 10000mAh ワイヤレス充電 22.5W急速充電 USB-C内蔵ケーブル 小型 軽量 薄型 最大3台同時充電 PD対,CHUSII,"Shenzhen Joway Power Supply Co., Ltd.",家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,2538,50,300,3,3,JunqianStore / Camer Tech / 惠州市博莱博科技有限公司,,1563,1563,1563,はい,2026-02-23以降,0.0,833,965,53.4,12.5,0.8,0.4,実セラー数,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FYG2NDBR
A,B0C4X9TW9C,[マーナ] Shupatto 保冷バッグ (20L/ホワイトバーチ) シュパット 一気にたためる エコバッグ (折り畳み/大容量) 保冷バッグ,マーナ(Marna),Shupatto,ファッション > バッグ・スーツケース > エコバッグ・買い物バッグ,2268,37,200,2,2,マーナ公式 アマゾン店 / Amazon US,,4180,4138,4138,はい,2026-02-23以降,0.0,2507,3045,60.0,12.33,0.81,0.41,実セラー数,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0C4X9TW9C
A,B0FQ1X5R8C,【2026新登場・360°回転・折り畳み式】 タブレット スタンド iPad スタンド 4.7~13インチ対応 軽量 高さ 角度調整 滑り止め 放熱 通気性 安,Kungix,Kungix,パソコン・周辺機器 > PCアクセサリ・サプライ > タブレットアクセサリ,1533,37,300,2,2,HIDEMI SHOP / YUKA NO1,,1963,1946,1946,はい,2026-02-23以降,0.0,982,1074,50.1,12.33,0.81,0.41,実セラー数,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FQ1X5R8C
A,B0FDPYH3JR,水月雨 Moondrop Pill オープンイヤー型ワイヤレスイヤホン イヤーカフ イヤホン オープンイヤー ワイヤレス Bluetooth 6.0,Moondrop,Moondrop,家電＆カメラ > イヤホン・ヘッドホン > イヤホン・ヘッドホン本体,4950,37,50,2,2,e☆イヤホン【イヤホン・ヘッドホン専門店 16時までの通常注文は当日発送！】 / 水月雨(MOONDROP)公式ストア,メーカー直販,6750,5700,5700,いいえ,2026-02-23以降,0.0,3523,4772,52.2,12.33,0.81,0.41,実セラー数,標準(小型),182,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0FDPYH3JR
A,B0G7G1XGS2,プロジェクター 小型 270°回転 ネイティブ1080P 32000LM 天井投影 Bluetooth5.4 ホームプロジェクター 4k対応 家庭用プロジェクタ,Alprojec,Alprojec,家電＆カメラ > テレビ・レコーダー > ホームプロジェクター,1748,49,500,3,3,Benkaer【翌日発送】 / Alprojec / Al-Alprojec【当日発送】,メーカー直販,5699,5698,5698,はい,2026-02-23以降,0.0,3421,4526,60.0,12.25,0.82,0.41,実セラー数,標準1,282,中小候補,GO,GO,GO,,,https://www.amazon.co.jp/dp/B0G7G1XGS2
